Rank,CCA3,Country,Capital,Continent,2022 Population,2020 Population ,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area,Density,Growth_Rate,World_Population_Percentage,avgincome/person,Life_expectancy ,Adult Mortality,Total_expenditure,Schooling
36,AFG,Afghanistan,Kabul,Asia,41128771,38972230,33753499,28189672,19542982,10694796,12486631,10752971,652230,63.0587,1.0257,0.52,327120,65,263,12.16,10.1
138,ALB,Albania,Tirana,Europe,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,28748,98.8702,0.9957,0.04,123253,59.9,271,8.18,10
34,DZA,Algeria,Algiers,Africa,44903225,43451666,39543154,35856344,30774621,25518074,18739378,13795915,2381741,18.8531,1.0164,0.56,232628,59.9,268,8.13,9.9
42,AGO,Angola,Luanda,Africa,35588987,33428485,28127721,23364185,16394062,11828638,8330047,6029700,1246700,28.5466,1.0315,0.45,374262,59.5,272,8.52,9.8
33,ARG,Argentina,Buenos Aires,South America,45510318,45036032,43257065,41100123,37070774,32637657,28024803,23842803,2780400,16.3683,1.0052,0.57,311231,59.2,275,7.87,9.5
140,ARM,Armenia,Yerevan,Asia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,29743,93.4831,0.9962,0.03,148900,58.8,279,9.2,9.2
55,AUS,Australia,Canberra,Oceania,26177413,25670051,23820236,22019168,19017963,17048003,14706322,12595034,7692024,3.4032,1.0099,0.33,118786,58.6,281,9.42,8.9
99,AUT,Austria,Vienna,Europe,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,83871,106.5877,1.002,0.11,222532,58.1,287,8.33,8.7
91,AZE,Azerbaijan,Baku,Asia,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,86600,119.6082,1.0044,0.13,270147,57.5,295,6.73,8.4
176,BHS,Bahamas,Nassau,North America,409984,406471,392697,373272,325014,270679,223752,179129,13943,29.4043,1.0051,0.01,184005,57.3,295,7.43,8.1
